2025-09-18 16:43:55,937 | WARNING | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | Son : maneuver_warning.wav
2025-09-18 16:50:12,925 | WARNING | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | Son : maneuver_warning.wav
2025-09-18 16:50:16,146 | CRITICAL | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | Son : navigation_error.wav
2025-09-18 17:00:46,938 | WARNING | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | Son : timeout_alert.wav
2025-09-18 17:00:49,250 | WARNING | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | Son : maneuver_warning.wav
2025-09-18 17:01:37,127 | WARNING | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | Son : timeout_alert.wav
2025-09-18 17:01:38,627 | INFO | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | Son : place_unavailable.wav
2025-09-18 17:01:41,316 | CRITICAL | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | Son : obstacle_alert.wav
2025-09-18 17:01:42,804 | INFO | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | Son : place_unavailable.wav
2025-09-18 17:01:43,974 | CRITICAL | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | Son : obstacle_alert.wav
2025-09-19 12:02:37,373 | WARNING | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | Son : communication_lost.wav
2025-09-19 12:02:47,420 | WARNING | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | Son : maneuver_warning.wav
2025-09-19 12:02:51,895 | WARNING | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | Son : maneuver_warning.wav
2025-09-19 12:03:00,329 | WARNING | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | Son : timeout_alert.wav
2025-09-19 12:03:05,138 | WARNING | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | Son : maneuver_warning.wav
2025-09-19 12:03:06,020 | WARNING | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | Son : timeout_alert.wav
2025-09-19 12:03:09,774 | INFO | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | Son : parking_complete.wav
2025-09-19 12:03:11,046 | WARNING | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | Son : timeout_alert.wav
2025-09-19 12:03:16,532 | CRITICAL | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | Son : obstacle_alert.wav
2025-09-19 12:03:17,542 | INFO | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | Son : place_unavailable.wav
2025-09-19 12:03:21,514 | CRITICAL | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | Son : obstacle_alert.wav
2025-09-19 12:03:21,958 | INFO | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | Son : place_unavailable.wav
2025-09-19 12:03:49,401 | INFO | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | Son : place_unavailable.wav
2025-09-19 12:03:54,308 | WARNING | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | Son : communication_lost.wav
2025-09-19 12:03:56,544 | WARNING | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | Son : timeout_alert.wav
2025-09-19 12:05:10,105 | CRITICAL | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | Son : obstacle_alert.wav
2025-09-19 12:05:16,018 | WARNING | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | Son : communication_lost.wav
2025-09-19 12:05:19,920 | CRITICAL | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | Son : navigation_error.wav
2025-09-19 12:05:24,600 | CRITICAL | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | Son : navigation_error.wav
2025-09-19 12:05:26,814 | INFO | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | Son : parking_complete.wav
2025-09-19 15:31:18,784 | INFO | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | Son : place_unavailable.wav
2025-09-19 15:31:21,202 | WARNING | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | Son : timeout_alert.wav
2025-09-19 15:31:22,450 | WARNING | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | Son : maneuver_warning.wav
2025-09-19 17:16:07,777 | WARNING | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | Son : communication_lost.wav
