2025-08-14 17:29:06 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-14 17:29:09 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-14 17:29:11 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-19 00:33:38 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-20 14:59:39 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 16:12:33 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 16:12:35 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 16:12:36 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 16:12:39 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 16:12:40 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 16:12:42 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 16:58:33 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 16:58:34 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 16:58:40 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 16:58:42 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 16:58:46 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 16:58:47 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 16:58:48 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 16:58:53 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 16:58:54 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 16:58:58 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 16:59:01 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 16:59:05 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 17:02:03 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-22 17:02:04 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-22 17:02:08 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 17:02:10 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:02:13 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:02:22 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:02:48 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 17:03:06 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:03:08 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 17:03:17 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:03:26 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:03:29 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:03:32 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 17:03:34 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 17:03:35 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:03:38 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:03:40 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:03:43 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-22 17:03:45 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:03:47 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-22 17:03:53 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:03:57 | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | son : communication_lost.wav 
2025-08-22 17:04:02 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:04:05 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 17:05:18 | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | son : timeout_alert.wav 
2025-08-22 17:05:39 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 17:05:40 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:05:40 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-22 17:06:11 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:06:13 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:06:15 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-22 17:06:15 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:06:17 | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | son : obstacle_alert.wav 
2025-08-22 17:06:23 | Alerte : Fin de stationnement | Priorité : 3 | Icon : ✅ | son : parking_complete.wav 
2025-08-22 17:06:25 | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | son : maneuver_warning.wav 
2025-08-22 17:06:30 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 17:06:31 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:06:31 | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | son : place_unavailable.wav 
2025-08-22 17:06:39 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
2025-08-22 17:06:39 | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | son : navigation_error.wav 
